step,wallclock_sec,train_loss,val_loss,lr
1,1.319630,9.26215363,9.25639091,0.0000000000
50,7.657856,7.82210302,,0.0001225000
100,14.028493,6.03439808,5.93020604,0.0002475000
150,19.396898,4.92027950,,0.0003725000
200,25.020064,4.06680632,4.10652479,0.0004975000
250,29.938184,3.70879173,,0.0004998843
300,35.025346,3.38979936,3.48478609,0.0004995278
350,39.686525,3.26791048,,0.0004989309
400,44.506060,3.12111664,3.12519803,0.0004980943
450,48.868634,3.00186777,,0.0004970187
500,53.437290,2.92534971,2.94694984,0.0004957054
550,57.956493,2.72831845,,0.0004941557
600,62.231308,2.77869844,2.78134419,0.0004923714
650,67.237843,2.78892183,,0.0004903543
700,71.504467,2.72274637,2.69525684,0.0004881066
750,75.465258,2.61945391,,0.0004856307
800,79.800941,2.69157434,2.58574132,0.0004829292
850,83.732929,2.47146797,,0.0004800051
900,87.827134,2.30843568,2.54868250,0.0004768615
950,91.477299,2.53596115,,0.0004735017
1000,95.379806,2.45281458,2.43304274,0.0004699293
1050,99.215112,2.44750738,,0.0004661482
1100,103.144419,2.33709955,2.40786948,0.0004621624
1150,107.447759,2.43174100,,0.0004579762
1200,111.350508,2.33742237,2.33645208,0.0004535941
1250,114.883563,2.40941143,,0.0004490207
1300,118.729108,2.26680613,2.30024214,0.0004442610
1350,122.296401,2.31635904,,0.0004393200
1400,126.106087,2.26768780,2.25480868,0.0004342031
1450,129.596722,2.20792580,,0.0004289157
1500,133.370185,2.25874305,2.25190085,0.0004234635
1550,137.044096,2.02866650,,0.0004178523
1600,140.845325,2.22947407,2.20927062,0.0004120881
1650,144.528909,2.15466642,,0.0004061772
1700,148.334998,2.15704489,2.17384748,0.0004001257
1750,151.768361,2.07032919,,0.0003939403
1800,155.547085,2.06068230,2.13534096,0.0003876275
1850,158.999880,2.22005367,,0.0003811941
1900,162.770619,2.25816441,2.11016470,0.0003746470
1950,166.174932,1.98910868,,0.0003679932
2000,169.949772,2.07337070,2.09443156,0.0003612398
2050,173.611293,2.27075768,,0.0003543941
2100,177.344409,2.27097225,2.06976267,0.0003474633
2150,180.907040,2.03986645,,0.0003404550
2200,184.670248,2.01946425,2.04911021,0.0003333765
2250,188.051898,2.20101595,,0.0003262356
2300,191.792340,2.03019547,2.03924418,0.0003190397
2350,195.177391,1.93244803,,0.0003117968
2400,198.951683,2.08687305,2.00683398,0.0003045144
2450,202.299859,2.07671237,,0.0002972004
2500,206.031267,1.91254711,1.98705780,0.0002898626
2550,209.616845,2.00208020,,0.0002825090
2600,213.353866,1.95876777,1.98378000,0.0002751473
2650,216.722575,1.99202847,,0.0002677854
2700,220.478572,1.94350171,1.97467505,0.0002604312
2750,223.844128,1.95127320,,0.0002530927
2800,227.549527,1.92897987,1.95325563,0.0002457776
2850,230.883049,2.02495599,,0.0002384938
2900,234.604265,1.90458632,1.97480311,0.0002312491
2950,237.972084,2.01593757,,0.0002240513
3000,241.652314,1.98485768,1.96057658,0.0002169080
3050,245.274927,1.96819687,,0.0002098269
3100,248.985915,1.92103827,1.90495248,0.0002028156
3150,252.337690,1.86319637,,0.0001958816
3200,256.071796,1.93916583,1.92557033,0.0001890323
3250,259.506807,1.84897709,,0.0001822751
3300,263.209178,1.96561587,1.90115979,0.0001756171
3350,266.586526,2.06607223,,0.0001690656
3400,270.305914,1.92381358,1.87803721,0.0001626276
3450,273.659939,1.88700354,,0.0001563098
3500,277.413556,2.00757623,1.89569062,0.0001501192
3550,281.014118,2.00233960,,0.0001440622
3600,284.721455,1.89724553,1.90150127,0.0001381455
3650,288.086003,1.83407664,,0.0001323754
3700,291.787311,1.76779819,1.89589079,0.0001267579
3750,295.217062,1.93524170,,0.0001212992
3800,298.950611,1.89860153,1.88072695,0.0001160051
3850,302.284406,1.94339657,,0.0001108813
3900,305.988049,1.95685518,1.84521956,0.0001059332
3950,309.320948,1.90488315,,0.0001011661
4000,313.013494,1.76356101,1.88048570,0.0000965852
4050,316.633357,1.78501773,,0.0000921953
4100,320.363055,1.96195865,1.86850117,0.0000880012
4150,323.695317,1.90603995,,0.0000840073
4200,327.411264,1.83567214,1.83641098,0.0000802180
4250,330.766093,1.90687776,,0.0000766372
4300,334.509957,1.82251477,1.82979633,0.0000732688
4350,337.853111,1.74658012,,0.0000701165
4400,341.553492,1.82286775,1.84515538,0.0000671835
4450,344.906966,1.91492629,,0.0000644731
4500,348.611862,1.85623884,1.82910773,0.0000619881
4550,352.261679,1.89696848,,0.0000597312
4600,355.955988,1.84086049,1.81110004,0.0000577048
4650,359.303760,1.77837169,,0.0000559112
4700,363.018782,1.94349635,1.82869185,0.0000543521
4750,366.406116,1.82788920,,0.0000530293
4800,370.141517,1.79273129,1.83164920,0.0000519442
4850,373.047800,1.88891315,,0.0000510979
4900,376.449831,1.75233722,1.81353910,0.0000504914
4950,379.353838,1.85525465,,0.0000501253
5000,383.064347,1.75882959,1.81636533,0.0000500000
